id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,median_income,area_sq_km,local_government_area,region,time_zone
196,Ambleside,Devonport,TAS,Tasmania,7310,Suburb,-41.20612,146.37295,15,663,30940,1.09200,Devonport (City),West and North West,Australia/Hobart
197,Ambrose,,QLD,Queensland,4695,Rural locality,-23.78568,150.92680,36,218,24232,63.26300,Gladstone (Regional Council),Central Queensland,Australia/Brisbane
198,Amby,,QLD,Queensland,4462,Rural locality,-26.54921,148.18690,354,86,23192,198.98000,Maranoa (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
199,Amelup,,WA,Western Australia,6338,Rural locality,-34.23847,118.22088,185,64,79612,402.44100,Gnowangerup (Shire),Western Australia - Wheat Belt,Australia/Perth
200,American Beach,,SA,South Australia,5222,Rural locality,-35.77694,137.87650,28,6,29900,0.63200,Kangaroo Island (District Council),South Australia - South East,Australia/Adelaide
201,American River,,SA,South Australia,5221,Urban locality,-35.77305,137.77996,15,238,21892,1.82000,Kangaroo Island (District Council),South Australia - South East,Australia/Adelaide
202,Amherst,,VIC,Victoria,3371,Rural locality,-37.14647,143.67017,254,65,19344,34.00000,Central Goldfields (Shire),Ballarat,Australia/Melbourne
203,Amiens,,QLD,Queensland,4380,Rural locality,-28.58362,151.80109,871,293,24180,51.90300,Southern Downs (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
204,Amity,,QLD,Queensland,4183,Urban locality,-27.39789,153.43908,7,387,26780,5.06300,Redland (City),Brisbane - East,Australia/Brisbane
205,Amoonguna,,NT,Northern Territory,0873,Urban locality,-23.76847,133.93067,546,239,9360,5.58800,MacDonnell (Regional Council),Northern Territory - Outback,Australia/Darwin
206,Amor,,VIC,Victoria,3825,Rural locality,-37.94124,146.39980,521,0,0,6.46400,Baw Baw (Shire),Latrobe - Gippsland,Australia/Melbourne
207,Amosfield,,NSW,New South Wales,4380,Rural locality,-28.62402,152.06643,870,31,17316,58.00400,Tenterfield (Area),New England and North West,Australia/Sydney
208,Amphitheatre,,VIC,Victoria,3468,Rural locality,-37.18234,143.39992,280,248,22620,152.46900,Pyrenees (Shire),Ballarat,Australia/Melbourne
209,Ampilatwatja,,NT,Northern Territory,0872,Urban locality,-21.65288,135.22453,399,418,12220,28.27700,Barkly (Regional Council),Northern Territory - Outback,Australia/Darwin
210,Amyton,,SA,South Australia,5431,Rural locality,-32.60343,138.32739,316,5,46800,75.90000,Mount Remarkable (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
211,Anabranch North,,NSW,New South Wales,2648,Rural locality,-33.29636,141.80229,42,9,50024,1661.39400,Wentworth (Area),Murray,Australia/Sydney
212,Anabranch South,,NSW,New South Wales,2648,Rural locality,-33.54487,141.73014,56,34,33124,2279.46300,Wentworth (Area),Murray,Australia/Sydney
213,Anakie,,VIC,Victoria,3213,Rural locality,-37.93803,144.28470,136,690,35308,181.12300,Greater Geelong (City),Geelong,Australia/Melbourne
214,Anama,,SA,South Australia,5464,Rural locality,-33.68676,138.56545,373,14,44148,24.22400,Clare and Gilbert Valleys (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
215,Anambah,,NSW,New South Wales,2320,Rural locality,-32.67607,151.49513,13,30,29900,11.59200,Maitland (City),Hunter Valley exc Newcastle,Australia/Sydney
216,Anangu Pitjantjatjara Yankunytjatjara,,SA,South Australia,0872,Rural locality,-27.07839,131.20589,498,226,23868,102237.14400,Anangu Pitjantjatjara (Aboriginal Council),South Australia - Outback,Australia/Adelaide
217,Anatye,,NT,Northern Territory,0872,Rural locality,-23.37944,136.49541,256,111,20176,45033.16800,Central Desert (Regional Council),Northern Territory - Outback,Australia/Darwin
218,Ancona,,VIC,Victoria,3715,Rural locality,-36.97227,145.79054,324,84,29120,68.44600,Mansfield (Shire),Hume,Australia/Melbourne
219,Andamooka,,SA,South Australia,5722,Urban locality,-30.45360,137.16498,109,316,24700,23.81700,Unincorporated,South Australia - Outback,Australia/Adelaide
220,Andamooka Station,,SA,South Australia,5719,Rural locality,-30.77681,136.61509,103,4,50024,8794.54000,Unincorporated,South Australia - Outback,Australia/Adelaide
221,Andergrove,Mackay,QLD,Queensland,4740,Suburb,-21.09694,149.18533,8,9419,36036,8.48000,Mackay (Regional Council),Mackay - Isaac - Whitsunday,Australia/Brisbane
222,Anderleigh,,QLD,Queensland,4570,Rural locality,-25.99842,152.67358,109,90,27560,48.17700,Gympie (Regional Council),Wide Bay,Australia/Brisbane
223,Anderson,,VIC,Victoria,3995,Rural locality,-38.52174,145.44930,63,28,23400,5.83100,Bass Coast (Shire),Latrobe - Gippsland,Australia/Melbourne
224,Ando,,NSW,New South Wales,2631,Rural locality,-36.73993,149.26121,884,72,34424,112.16300,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
225,Andover,,TAS,Tasmania,7120,Rural locality,-42.33000,147.46064,407,38,29224,73.44600,Southern Midlands (Municipality),South East,Australia/Hobart
226,Andrews,,SA,South Australia,5454,Rural locality,-33.59900,138.63124,320,37,38428,77.25500,Northern Areas (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
227,Andrews Farm,Adelaide,SA,South Australia,5114,Suburb,-34.67146,138.66678,33,8043,33176,3.98900,Playford (City),Adelaide - North,Australia/Adelaide
228,Andromache,,QLD,Queensland,4800,Rural locality,-20.58452,148.42000,66,51,19916,423.06500,Whitsunday (Regional Council),Mackay - Isaac - Whitsunday,Australia/Brisbane
229,Anduramba,,QLD,Queensland,4355,Rural locality,-27.13461,152.08588,443,77,29432,283.60700,Toowoomba (Regional Council),Darling Downs - Maranoa,Australia/Brisbane
230,Anembo,,NSW,New South Wales,2621,Rural locality,-35.80545,149.42833,1076,66,35360,171.82000,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
231,Angas Plains,,SA,South Australia,5255,Rural locality,-35.33490,138.96945,21,65,29536,41.39000,Alexandrina (District Council),South Australia - South East,Australia/Adelaide
232,Angaston,,SA,South Australia,5353,Urban locality,-34.50115,139.04683,354,2095,33592,79.59200,Barossa (District Council),Barossa - Yorke - Mid North,Australia/Adelaide
233,Angas Valley,,SA,South Australia,5238,Rural locality,-34.75513,139.30616,79,47,26624,50.23400,Mid Murray (District Council),South Australia - South East,Australia/Adelaide
234,Angelo River,,WA,Western Australia,6642,Rural locality,-24.07860,118.01042,356,9,32760,13971.80300,Meekatharra (Shire),Western Australia - Outback (South),Australia/Perth
235,Angledale,,NSW,New South Wales,2550,Rural locality,-36.63575,149.85715,51,154,31668,26.81300,Bega Valley (Area),Capital Region,Australia/Sydney
236,Angledool,,NSW,New South Wales,2834,Rural locality,-29.11312,147.90256,151,58,21164,689.50100,Brewarrina (Area),Far West and Orana,Australia/Sydney
237,Angle Park,Adelaide,SA,South Australia,5010,Suburb,-34.85913,138.56067,11,1563,22620,1.07000,Port Adelaide Enfield (City),Adelaide - West,Australia/Adelaide
238,Anglers Reach,,NSW,New South Wales,2629,Rural locality,-35.99920,148.66485,1189,94,24648,11.12700,Snowy Monaro Regional (Area),Capital Region,Australia/Sydney
239,Anglers Rest,,VIC,Victoria,3898,Rural locality,-37.01433,147.45141,845,21,7800,86.50400,East Gippsland (Shire),Latrobe - Gippsland,Australia/Melbourne
240,Anglesea,,VIC,Victoria,3230,Urban locality,-38.40513,144.18927,10,2545,36972,96.76000,Surf Coast (Shire),Geelong,Australia/Melbourne
241,Angle Vale,,SA,South Australia,5117,Urban locality,-34.64077,138.64660,37,2923,36816,14.05400,Playford (City),Adelaide - North,Australia/Adelaide
242,Angourie,,NSW,New South Wales,2464,Urban locality,-29.48101,153.35996,35,222,36036,3.53600,Clarence Valley (Area),Coffs Harbour - Grafton,Australia/Sydney
243,Angurugu,,NT,Northern Territory,0822,Urban locality,-13.98119,136.46121,16,855,17316,1.51300,East Arnhem (Regional Council),Northern Territory - Outback,Australia/Darwin
244,Anindilyakwa,,NT,Northern Territory,0822,Rural locality,-13.97005,136.59334,122,117,34320,2592.73700,East Arnhem (Regional Council),Northern Territory - Outback,Australia/Darwin
